,userNr,userId,file_name,N,S,V,Nprec,Nrec,Nfsc,Sprec,Srec,Sfsc,Vprec,Vrec,Vfsc,Err%,Noise%
76,1013,614dbfd24bac1cce7b017aef,1630737.080,945,9,0,1.0,0.9830687830687831,0.9914621131270012,0.21052631578947367,0.4444444444444444,0.2857142857142857,0.0,0.0,0.0,2.2,31.970649895178198
77,1013,614dbfd24bac1cce7b017aef,1630737.125,867,10,0,1.0,0.9803921568627451,0.99009900990099,0.0,0.0,0.0,0.0,0.0,0.0,3.1,41.73318129988598
78,1013,614dbfd24bac1cce7b017aef,1630737.189,910,4,0,1.0,0.9967032967032967,0.9983489268024216,0.0,0.0,0.0,0.0,0.0,0.0,0.8,25.601750547045953
79,1014,615708ba2312e518c0168e69,1630737.030,766,0,17,1.0,0.9321148825065274,0.9648648648648649,0.0,0.0,0.0,0.25757575757575757,1.0,0.40963855421686746,6.6,80.20434227330779
80,1014,615708ba2312e518c0168e69,1630737.051,741,1,3,1.0,0.9919028340080972,0.9959349593495934,0.0,0.0,0.0,0.3,1.0,0.4615384615384615,0.9,46.308724832214764
81,1014,615708ba2312e518c0168e69,1630737.103,768,0,5,1.0,0.98828125,0.9941060903732809,0.0,0.0,0.0,0.4166666666666667,1.0,0.5882352941176471,1.2,34.152652005174645
82,1014,615708ba2312e518c0168e69,1630737.127,723,0,5,1.0,0.9903181189488244,0.995135510771369,0.0,0.0,0.0,0.4166666666666667,1.0,0.5882352941176471,1.0,39.56043956043956
83,1014,615708ba2312e518c0168e69,1630737.130,716,2,4,0.9971550497866287,0.979050279329609,0.9880197322057788,0.0,0.0,0.0,0.21052631578947367,1.0,0.34782608695652173,2.4,65.65096952908587
84,1014,615708ba2312e518c0168e69,1630737.154,667,0,21,1.0,0.9685157421289355,0.9840060929169839,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,3.1,72.67441860465115
85,1014,615708ba2312e518c0168e69,1630737.196,759,0,18,1.0,0.8774703557312253,0.9347368421052632,0.0,0.0,0.0,0.16981132075471697,1.0,0.2903225806451613,12.0,72.84427284427284
